sku,mfgn,qty,qtynj,qtyfl,price,map,mrp
58867,903-DCSM,0,0,0,814.24,,
58871,905V-DCSM,0,0,0,905.92,,
58880,900-AM,0,0,0,213.77,,
58883,902-AM,0,0,0,376.82,,
58885,904-AM,0,0,0,591.92,,
58887,905-AM,0,0,0,805.23,,
58889,906-AM,0,0,0,1014.60,,
58890,906V-AM,0,0,0,994.69,,
58891,907-AM,0,0,0,1470.10,,
58893,NC32Y-DCSM,0,0,0,1240.05,,
58897,M28-DCSM,0,0,0,1000.64,,
58898,M32-DCSM,0,0,0,1061.14,,
58947,010-01550-00,5,5,0,111.99,,139.99
58948,010-01550-10,4,1,3,175.99,,
58953,010-12439-00,16,10,6,9.74,,
58954,010-12439-01,15,8,7,14.99,,
58955,010-12440-00,0,0,0,11.24,,
58956,010-12440-01,0,0,0,11.24,,
58957,010-12440-02,0,0,0,11.24,,
58958,010-12401-00,0,0,0,119.99,,
58959,010-12401-20,0,0,0,97.49,,
58960,010-12402-00,2,1,1,149.99,,
58961,010-12403-00,4,1,3,134.99,,
58962,010-12404-00,10,5,5,157.49,,
58963,010-12404-10,0,0,0,434.99,,
58964,010-12405-00,6,1,5,236.24,,
58966,010-12407-00,0,0,0,22.49,,
58967,010-12407-02,0,0,0,22.49,,
58968,010-12445-11,0,0,0,3.74,,
58970,010-12445-30,0,0,0,5.24,,
58971,010-12445-22,5,3,2,22.49,,
58972,010-12445-32,0,0,0,22.49,,
58973,010-12445-00,19,11,8,17.24,,
58974,010-12445-12,0,0,0,3.74,,
58975,010-12445-21,0,0,0,3.74,,
58976,010-12445-31,0,0,0,3.74,,
58977,010-12445-10,0,0,0,18.74,,
58978,010-12234-06,0,0,0,14.99,,
58979,010-12462-00,0,0,0,74.99,,
58980,010-12357-00,0,0,0,18.74,,
58985,940800211,0,0,0,1496.39,,1739.99
58986,OC-0422BKA8,0,0,0,213.96,,
58987,OC-0432BKA116,2,2,0,263.37,,
58988,OC-0432VEL116,0,0,0,263.36,,
58989,OT-0442BKA15,2,0,2,544.53,,
58990,OT-0442VEL15,0,0,0,544.53,,
58992,F16-0151R-1,4,2,2,38.38,,
58994,F31-0790BXY-1,3,1,2,351.77,,
58995,F31-0770BSA-1,2,0,2,182.47,,
58996,F30-0861BSA-1,12,5,7,96.00,,
58999,F16-0810-1,0,0,0,249.46,,
59001,OT-3160CF,5,2,3,2192.41,,
59002,OT-4200CF,2,1,1,2619.47,,
59006,900-ACM6W-110V,0,0,0,256.43,,
59008,900-AC1-110V,1,0,1,288.48,,
59009,900-AC1,0,0,0,305.25,,
59010,HRC10812V,2,1,1,1844.59,2699.00,
59011,RC8612V,0,0,0,963.92,1414.00,
59012,RC121212V,0,0,0,2956.76,4189.00,
59013,900-ACCH-110V,0,0,0,166.74,,
59014,900-ACCH,0,0,0,279.99,,
59015,R62379,9,0,9,127.83,,
59016,900-ACM2-AM-110,0,0,0,328.25,,
59021,900-AC2H-AM-110,0,0,0,483.17,,
59028,900-AC2V-ACSM,0,0,0,868.36,,
59029,900-AC3-AM,0,0,0,792.48,,
59031,900-AC3-ACSM,0,0,0,1059.42,,
59032,900-AC4-ACSM-110,0,0,0,1099.86,,
59033,900-AC4-ACSM,0,0,0,1110.11,,
59044,BM30PW,1,1,0,81.60,113.90,
59045,BM30PG,6,6,0,81.60,113.90,
59046,BM30PB,5,5,0,81.60,113.90,
59047,BM50PW,5,5,0,93.18,130.05,
59048,BM50PG,1,1,0,93.18,130.05,
59049,BM50PB,3,3,0,93.18,130.05,
59050,BM30NT,0,0,0,114.49,159.80,
59110,2914,0,0,0,505.98,,
59164,BP3708,4,2,2,223.64,,
59165,BP3740,3,1,2,223.64,,
59167,BP9005,6,1,5,54.88,,
59168,BP9013,4,2,2,71.18,,
59169,BP9021,5,4,1,59.31,,
59170,BP4402,5,2,3,109.87,,
59171,BP4410,4,2,2,125.08,,
59172,BP0510,3,2,1,117.27,,
59174,BP0350,9,5,4,81.33,,
59176,82-962-001A,4,4,0,91.09,,
59177,BP1552,23,8,15,141.75,,
59178,BP1554,7,3,4,145.85,,
59179,GP4618,112,94,18,38.79,,
59180,GP0550,13,3,10,87.47,,
59181,GP0551,5,3,2,87.47,,
59182,GP0418,15,4,11,75.44,,
59183,GP0650,21,18,3,54.16,,
59184,SS5212,11,5,6,53.11,,
59185,SS1212,21,9,12,75.05,,
59186,SS1224,6,2,4,82.26,,
59187,BP2052,19,7,12,160.02,,
59188,BP2054,16,10,6,156.35,,
59189,BP4572,9,4,5,192.47,,
59190,BP4574,3,0,3,201.28,,
59191,LV1219,14,14,0,13.44,,
59192,RT2498,13,6,7,96.18,,
59193,RT2658,7,3,4,125.62,,
59199,S-7098P,4,1,3,5.13,,
59208,F600,5,3,2,438.58,,
59209,S600,8,4,4,437.61,,
59210,F700,6,3,3,525.19,,
59211,S700,4,2,2,522.79,,
59212,S1100,6,3,3,490.96,,
59213,F1100,8,4,4,498.33,,
59214,F600W,5,2,3,513.25,,
59215,F1200,4,2,2,610.03,,
59216,S1200,5,3,2,585.50,,
59221,PP4800-20,0,0,0,356.35,,
59222,PP5065,0,0,0,399.99,,
59224,PP5058,0,0,0,370.90,,
59225,PP4403,0,0,0,269.08,,
59226,PP5064,0,0,0,399.99,,
59227,PP5059,0,0,0,370.90,,
59228,PP4407,0,0,0,269.08,,
59229,RMX4800-20,0,0,0,436.35,,
59230,RMX4800-12,0,0,0,436.35,,
59232,RMX4800,0,0,0,421.81,,
59234,RMX4408,0,0,0,392.72,,
59235,RMX4407,0,0,0,392.72,,
59236,RMX4808,0,0,0,436.35,,
59238,ACC-FF-1536,9,4,5,7.42,,
59239,GP2050-20,0,0,0,327.26,,
59240,ACC-FF-1567,0,0,0,7.42,,
59241,ACC-FF-1659,0,0,0,13.74,,
59242,GP2050-19,0,0,0,327.26,,
59243,ACC-FF-1581,0,0,0,38.64,,
59244,GP1200-12,0,0,0,363.62,,
59245,GP2200-12,0,0,0,363.62,,
59246,GP1800-12,0,0,0,312.72,,
